,,,,,,,,,,,,,,,,,,,Hedef Kas/Kaslar,,Egzersiz,,,,Aç?klama/Not,,Set,,Tekrar,,Rir,,Tempo,,Hafta 1/A??rl?k/Tekrar/Rir,,,,Hafta 2/A??rl?k/Tekrar/Rir,,,,Hafta 3/A??rl?k/Tekrar/Rir,,,,Hafta 4/A??rl?k/Tekrar/Rir,,,,Hafta 5/A??rl?k/Tekrar/Rir,,,,Hafta 6/A??rl?k/Tekrar/Rir,,,,Hafta 7/A??rl?k/Tekrar/Rir,,,,Hafta 8/A??rl?k/Tekrar/Rir,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6,Upperback,,Kelso Shrug,,,,Tbar mach or upperback row mach,,3,,5-9 / 8-12 ,,0-1,,3-1-0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,7,Abs,,Cable Crunch or crunch mach,,,,,,3,,5-9 / 8-12,,0-1,,3-1-0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Limbs B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Hedef Kas/Kaslar,,Egzersiz,,,,Aç?klama/Not,,Set,,Tekrar,,Rir,,Tempo,,Hafta 1/A??rl?k/Tekrar/Rir,,,,Hafta 2/A??rl?k/Tekrar/Rir,,,,Hafta 3/A??rl?k/Tekrar/Rir,,,,Hafta 4/A??rl?k/Tekrar/Rir,,,,Hafta 5/A??rl?k/Tekrar/Rir,,,,Hafta 6/A??rl?k/Tekrar/Rir,,,,Hafta 7/A??rl?k/Tekrar/Rir,,,,Hafta 8/A??rl?k/Tekrar/Rir,,,,,,,,,,,,,,,,,,,,,,,,,
